Kill,Team Fight,Push,Gank,Farm,Group Fight,Roshan,Roam,Split Push,No Label,TimeStamp,Kill,Team Fight,Push,Gank,Farm,Group Fight,Roshan,Roam,Split Push,No Label,TimeStamp
0,0,0,0,0,0,0,0,0,1,-1,0,0,1,0,0,0,0,0,0,0,"[4077, 4086]"
0,0,0,0,0,0,0,0,0,1,-1,0,0,1,0,0,0,0,0,0,0,"[4106, 4119]"
0,0,0,0,0,0,0,0,0,1,-1,0,0,1,0,0,0,0,0,0,0,"[4396, 4406]"
0,0,0,0,0,0,0,0,0,1,-1,1,0,0,0,0,0,0,0,0,0,"[4562, 4564]"
0,0,0,0,0,0,0,0,0,1,-1,0,0,1,0,0,0,0,0,0,0,"[4268, 4280]"
0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,1,0,0,0,0,0,"[4372, 4385]"
0,0,0,0,0,0,0,0,0,1,-1,0,0,1,0,0,0,0,0,0,0,"[4432, 4446]"
0,0,0,0,0,0,0,0,0,1,-1,0,0,1,0,0,0,0,0,0,0,"[4479, 4502]"
0,0,0,0,0,0,0,0,0,1,-1,0,0,1,0,0,0,0,0,0,0,"[4598, 4651]"
0,0,0,0,0,0,0,0,0,1,-1,0,1,0,0,0,0,0,0,0,0,"[4953, 4989]"
0,0,0,0,0,0,0,0,0,1,-1,0,0,1,0,0,0,0,0,0,0,"[4671, 4909]"
0,0,0,0,1,0,0,0,0,0,"[612, 720]",0,0,0,0,1,0,0,0,0,0,"[614, 719]"
0,0,0,0,1,0,0,0,0,0,"[748, 886]",0,0,0,0,1,0,0,0,0,0,"[752, 831]"
1,0,0,0,0,0,0,0,0,0,"[893, 910]",1,0,0,0,0,0,0,0,0,0,"[905, 909]"
0,0,0,0,1,0,0,0,0,0,"[962, 1052]",0,0,0,0,1,0,0,0,0,0,"[964, 980]"
0,0,0,0,1,0,0,0,0,0,"[962, 1052]",0,0,0,0,1,0,0,0,0,0,"[1035, 1055]"
0,0,0,0,1,0,0,0,0,0,"[1091, 1192]",0,0,0,0,1,0,0,0,0,0,"[1124, 1139]"
0,0,0,0,0,0,0,1,0,0,"[1192, 1318]",0,0,0,0,0,0,0,1,0,0,"[1188, 1320]"
0,0,0,0,1,0,0,0,0,0,"[1318, 1340]",0,0,0,0,1,0,0,0,0,0,"[1320, 1339]"
0,0,0,0,0,0,0,1,0,0,"[1340, 1383]",0,0,0,0,0,0,0,1,0,0,"[1339, 1384]"
1,0,0,0,0,0,0,0,0,0,"[1385, 1392]",1,0,0,0,0,0,0,0,0,0,"[1387, 1392]"
0,1,0,0,0,0,0,0,0,0,"[1494, 1517]",0,1,0,0,0,0,0,0,0,0,"[1489, 1515]"
0,0,0,0,1,0,0,0,0,0,"[1417, 1447]",0,0,0,0,1,0,0,0,0,0,"[1419, 1446]"
0,0,0,0,0,0,0,1,0,0,"[1447, 1486]",0,0,0,0,0,0,0,1,0,0,"[1446, 1485]"
0,0,0,0,1,0,0,0,0,0,"[1536, 1566]",0,0,0,0,1,0,0,0,0,0,"[1538, 1564]"
0,0,0,0,0,0,0,1,0,0,"[1566, 1638]",0,0,0,0,0,0,0,1,0,0,"[1564, 1638]"
0,0,0,0,1,0,0,0,0,0,"[1638, 1755]",0,0,0,0,1,0,0,0,0,0,"[1637, 1660]"
0,0,0,0,1,0,0,0,0,0,"[1776, 1817]",0,0,0,0,1,0,0,0,0,0,"[1802, 1816]"
0,0,0,0,0,0,0,1,0,0,"[1943, 2094]",0,0,0,0,0,0,0,1,0,0,"[1907, 2095]"
0,0,0,0,1,0,0,0,0,0,"[2094, 2146]",0,0,0,0,1,0,0,0,0,0,"[2095, 2110]"
0,0,0,0,1,0,0,0,0,0,"[2094, 2146]",0,0,0,0,1,0,0,0,0,0,"[2133, 2145]"
0,0,0,0,0,0,0,1,0,0,"[2146, 2210]",0,0,0,0,0,0,0,1,0,0,"[2145, 2210]"
0,0,0,0,1,0,0,0,0,0,"[2210, 2246]",0,0,0,0,1,0,0,0,0,0,"[2210, 2246]"
0,0,0,0,0,0,0,1,0,0,"[2246, 2308]",0,0,0,0,0,0,0,1,0,0,"[2246, 2307]"
0,0,0,0,1,0,0,0,0,0,"[2308, 2322]",0,0,0,0,1,0,0,0,0,0,"[2307, 2322]"
0,0,0,0,0,1,0,0,0,0,"[2430, 2443]",0,0,0,0,0,1,0,0,0,0,"[2427, 2444]"
0,0,0,1,0,0,0,0,0,0,"[2491, 2501]",0,0,0,1,0,0,0,0,0,0,"[2485, 2501]"
0,1,0,0,0,0,0,0,0,0,"[2743, 2756]",0,1,0,0,0,0,0,0,0,0,"[2727, 2756]"
0,0,0,0,0,0,0,1,0,0,"[2323, 2430]",0,0,0,0,0,0,0,1,0,0,"[2323, 2427]"
0,0,0,0,0,0,0,1,0,0,"[2444, 2491]",0,0,0,0,0,0,0,1,0,0,"[2447, 2493]"
0,0,0,0,0,0,0,1,0,0,"[2501, 2593]",0,0,0,0,0,0,0,1,0,0,"[2501, 2603]"
0,0,0,0,0,0,0,1,0,0,"[2671, 2783]",0,0,0,0,0,0,0,1,0,0,"[2667, 2744]"
0,0,0,1,0,0,0,0,0,0,"[2815, 2831]",0,0,0,1,0,0,0,0,0,0,"[2820, 2835]"
0,0,1,0,0,0,0,0,0,0,"[2872, 2889]",0,0,1,0,0,0,0,0,0,0,"[2873, 2888]"
0,0,0,0,0,0,0,1,0,0,"[2831, 2872]",0,0,0,0,0,0,0,1,0,0,"[2831, 3015]"
0,0,0,0,0,0,0,1,0,0,"[2889, 3013]",0,0,0,0,0,0,0,1,0,0,"[2831, 3015]"
0,0,0,0,1,0,0,0,0,0,"[3013, 3039]",0,0,0,0,1,0,0,0,0,0,"[3015, 3038]"
0,0,0,0,0,0,0,1,0,0,"[3039, 3260]",0,0,0,0,0,0,0,1,0,0,"[3038, 3107]"
0,0,0,0,0,0,0,1,0,0,"[3039, 3260]",0,0,0,0,0,0,0,1,0,0,"[3120, 3240]"
0,1,0,0,0,0,0,0,0,0,"[3323, 3352]",0,1,0,0,0,0,0,0,0,0,"[3333, 3352]"
0,0,0,0,1,0,0,0,0,0,"[3275, 3299]",0,0,0,0,1,0,0,0,0,0,"[3285, 3298]"
0,0,0,0,1,0,0,0,0,0,"[3501, 3529]",0,0,0,0,1,0,0,0,0,0,"[3503, 3528]"
0,0,0,0,1,0,0,0,0,0,"[3658, 3725]",0,0,0,0,1,0,0,0,0,0,"[3659, 3672]"
0,0,0,0,1,0,0,0,0,0,"[3658, 3725]",0,0,0,0,1,0,0,0,0,0,"[3702, 3721]"
0,0,0,0,0,0,0,1,0,0,"[3781, 3920]",0,0,0,0,0,0,0,1,0,0,"[3781, 3923]"
0,0,0,0,1,0,0,0,0,0,"[3988, 4080]",0,0,0,0,1,0,0,0,0,0,"[4033, 4048]"
0,1,0,0,0,0,0,0,0,0,"[4199, 4258]",0,1,0,0,0,0,0,0,0,0,"[4199, 4241]"
0,1,0,0,0,0,0,0,0,0,"[4342, 4365]",0,1,0,0,0,0,0,0,0,0,"[4344, 4364]"
0,1,0,0,0,0,0,0,0,0,"[4409, 4438]",0,1,0,0,0,0,0,0,0,0,"[4421, 4427]"
0,1,0,0,0,0,0,0,0,0,"[4528, 4576]",0,1,0,0,0,0,0,0,0,0,"[4557, 4576]"
1,0,0,0,0,0,0,0,0,0,"[1177, 1188]",0,0,0,0,0,0,0,1,0,0,"[1139, 1178]"
