TF,SR,TR,No Label,TimeStamp,TF,SR,TR,No Label,TimeStamp
1,0,0,0,"[4526, 4577]",1,0,0,0,"[4531, 4575]"
0,0,0,1,-1,1,0,0,0,"[982, 992]"
0,0,0,1,-1,1,0,0,0,"[2306, 2320]"
0,0,0,1,-1,1,0,0,0,"[2146, 2156]"
0,0,0,1,-1,1,0,0,0,"[2778, 2791]"
0,0,0,1,-1,1,0,0,0,"[3237, 3253]"
0,0,0,1,-1,1,0,0,0,"[3456, 3477]"
1,0,0,0,"[1177, 1187]",1,0,0,0,"[1180, 1184]"
1,0,0,0,"[1385, 1391]",1,0,0,0,"[1385, 1401]"
1,0,0,0,"[1492, 1517]",1,0,0,0,"[1487, 1514]"
0,1,0,0,"[1555, 1585]",0,1,0,0,"[1548, 1583]"
1,0,0,0,"[1756, 1767]",1,0,0,0,"[1762, 1767]"
1,0,0,0,"[1815, 1846]",1,0,0,0,"[1814, 1818]"
1,0,0,0,"[1891, 1906]",1,0,0,0,"[1894, 1907]"
1,0,0,0,"[1922, 1936]",1,0,0,0,"[1915, 1938]"
1,0,0,0,"[2187, 2207]",1,0,0,0,"[2195, 2205]"
1,0,0,0,"[2265, 2283]",1,0,0,0,"[2275, 2280]"
0,1,0,0,"[2328, 2343]",0,1,0,0,"[2328, 2349]"
1,0,0,0,"[2428, 2457]",1,0,0,0,"[2437, 2445]"
1,0,0,0,"[2599, 2633]",1,0,0,0,"[2598, 2635]"
1,0,0,0,"[2744, 2756]",1,0,0,0,"[2746, 2755]"
1,0,0,0,"[2744, 2756]",1,0,0,0,"[2746, 2755]"
1,0,0,0,"[2873, 2888]",1,0,0,0,"[2873, 2892]"
1,0,0,0,"[3329, 3354]",1,0,0,0,"[3338, 3351]"
1,0,0,0,"[3918, 3949]",1,0,0,0,"[3918, 3936]"
1,0,0,0,"[3918, 3949]",1,0,0,0,"[3941, 3947]"
1,0,0,0,"[3975, 3989]",1,0,0,0,"[3982, 3998]"
1,0,0,0,"[4037, 4058]",1,0,0,0,"[4033, 4058]"
0,1,0,0,"[4120, 4145]",0,1,0,0,"[4122, 4156]"
1,0,0,0,"[4161, 4181]",1,0,0,0,"[4163, 4170]"
1,0,0,0,"[4161, 4181]",1,0,0,0,"[4172, 4177]"
1,0,0,0,"[4199, 4260]",1,0,0,0,"[4209, 4259]"
1,0,0,0,"[4340, 4364]",1,0,0,0,"[4344, 4363]"
1,0,0,0,"[4392, 4410]",1,0,0,0,"[4392, 4431]"
1,0,0,0,"[4410, 4470]",1,0,0,0,"[4392, 4431]"
