Jimmy Explosive Quick Mine,Jimmy Explosive Inner,Jimmy Explosive Tunneling,Jimmy Exploring,Jimmy Tunneling Pickaxe,Jimmy Pickaxing for Gold,Jimmy Explosive Miss,Jimmy No label,Jimmy TimeStamp,Erica Explosive Quick Mine,Erica Explosive Inner,Erica Explosive Tunneling,Erica Exploring,Erica Tunneling Pickaxe,Erica Pickaxing for Gold,Erica Explosive Miss,Erica No label,Erica TimeStamp
0,0,0,1,0,0,0,0,"[8081, 8099]",0,1,0,0,0,0,0,0,"[8098, 8121]"
0,0,0,1,0,0,0,0,"[8081, 8099]",0,0,0,1,0,0,0,0,"[8083, 8099]"
0,1,0,0,0,0,0,0,"[8099, 8121]",0,1,0,0,0,0,0,0,"[8098, 8121]"
0,0,0,0,1,0,0,0,"[8126, 8133]",0,0,0,1,0,0,0,0,"[8131, 8140]"
0,0,0,0,1,0,0,0,"[8126, 8133]",0,0,0,0,1,0,0,0,"[8125, 8134]"
0,1,0,0,0,0,0,0,"[8139, 8171]",0,1,0,0,0,0,0,0,"[8140, 8171]"
0,1,0,0,0,0,0,0,"[8139, 8171]",0,0,0,1,0,0,0,0,"[8131, 8140]"
0,1,0,0,0,0,0,0,"[8174, 8191]",0,1,0,0,0,0,0,0,"[8173, 8189]"
0,1,0,0,0,0,0,0,"[8174, 8191]",0,0,0,0,0,1,0,0,"[8189, 8209]"
0,0,0,0,0,1,0,0,"[8191, 8209]",0,0,0,0,0,1,0,0,"[8189, 8209]"
0,0,0,0,1,0,0,0,"[8210, 8214]",0,0,0,0,1,0,0,0,"[8210, 8214]"
0,0,0,0,0,1,0,0,"[8214, 8229]",0,0,0,0,0,1,0,0,"[8214, 8228]"
0,0,0,1,0,0,0,0,"[8383, 8388]",0,0,0,1,0,0,0,0,"[8371, 8389]"
0,0,0,1,0,0,0,0,"[8383, 8388]",0,0,0,0,1,0,0,0,"[8386, 8398]"
0,0,0,0,1,0,0,0,"[8388, 8396]",0,0,0,1,0,0,0,0,"[8371, 8389]"
0,0,0,0,1,0,0,0,"[8388, 8396]",0,0,0,0,1,0,0,0,"[8386, 8398]"
0,1,0,0,0,0,0,0,"[8400, 8416]",0,1,0,0,0,0,0,0,"[8400, 8416]"
0,0,0,0,0,1,0,0,"[8434, 8465]",0,0,0,0,0,1,0,0,"[8435, 8465]"
0,0,0,1,0,0,0,0,"[8465, 8484]",0,0,0,1,0,0,0,0,"[8465, 8484]"
0,0,0,0,1,0,0,0,"[8484, 8497]",0,0,0,0,1,0,0,0,"[8484, 8499]"
0,0,0,1,0,0,0,0,"[8497, 8523]",1,0,0,0,0,0,0,0,"[8521, 8531]"
